ticker,date,foreign_buy,foreign_sell,foreign_net,trust_net,dealer_net,total_net
2351.TW,2022-05-27,443068,293000,150068,0,-9045,141023
2351.TW,2022-05-30,818000,562000,256000,127000,226379,609379
2351.TW,2022-05-31,496000,360000,136000,20000,-49617,106383
2351.TW,2022-06-01,354000,590000,-236000,-128000,-68187,-432187
2351.TW,2022-06-02,458000,238000,220000,134000,-18218,335782
2351.TW,2022-06-06,207000,163000,44000,0,4330,48330
2351.TW,2022-06-07,249000,178000,71000,0,2928,73928
2351.TW,2022-06-08,461446,249100,212346,221000,31442,464788
2351.TW,2022-06-09,567000,358000,209000,0,-10471,198529
2351.TW,2022-06-10,353000,134000,219000,0,2105,221105
2351.TW,2022-06-13,171000,224000,-53000,22000,-54051,-85051
2351.TW,2022-06-14,472000,253000,219000,-100000,-61263,57737
2351.TW,2022-06-15,229116,294068,-64952,20000,-4694,-49646
2351.TW,2022-06-16,249000,267000,-18000,0,-8241,-26241
2351.TW,2022-06-17,457000,471000,-14000,11000,19330,16330
2351.TW,2022-06-20,423000,737000,-314000,149000,-8849,-173849
2351.TW,2022-06-21,482000,383000,99000,43000,13940,155940
2351.TW,2022-06-22,222000,503446,-281446,93000,-68082,-256528
2351.TW,2022-06-23,755000,484000,271000,158000,64898,493898
2351.TW,2022-06-24,348000,309000,39000,422000,21810,482810
2351.TW,2022-06-27,735000,200000,535000,41000,17600,593600
2351.TW,2022-06-28,377000,439000,-62000,13000,-17057,-66057
2351.TW,2022-06-29,290000,359000,-69000,0,-4927,-73927
2351.TW,2022-06-30,173000,733000,-560000,-318000,-29151,-907151
2351.TW,2022-07-01,855000,999000,-144000,-443000,-3106,-590106
2351.TW,2022-07-04,1303000,708000,595000,-1689000,10990,-1083010
2351.TW,2022-07-05,4890000,2375000,2515000,-2335000,15676,195676
2351.TW,2022-07-06,5565000,2247000,3318000,-3270000,9163,57163
2351.TW,2022-07-07,5074000,2932000,2142000,-2133000,27718,36718
2351.TW,2022-07-08,1916000,3202904,-1286904,352000,19137,-915767
2351.TW,2022-07-11,1236000,1223000,13000,-244000,-16014,-247014
2351.TW,2022-07-12,1268000,764000,504000,-4000,-12907,487093
2351.TW,2022-07-13,684539,822000,-137461,43000,2277,-92184
2351.TW,2022-07-14,1946558,1428000,518558,-258000,58812,319370
2351.TW,2022-07-15,1862000,2452000,-590000,336000,30987,-223013
2351.TW,2022-07-18,1963000,2722000,-759000,362000,79415,-317585
2351.TW,2022-07-19,988000,1288000,-300000,-37000,-39962,-376962
2351.TW,2022-07-20,1890000,1308518,581482,176000,-94102,663380
2351.TW,2022-07-21,883000,1229000,-346000,403000,70660,127660
2351.TW,2022-07-22,995000,1923000,-928000,-90000,-27402,-1045402
2351.TW,2022-07-25,996000,782000,214000,18000,33727,265727
2351.TW,2022-07-26,730000,421000,309000,0,-24902,284098
2351.TW,2022-07-27,755000,412021,342979,19000,26238,388217
2351.TW,2022-07-28,558000,823000,-265000,17000,-18622,-266622
2351.TW,2022-07-29,1503000,860000,643000,102000,29764,774764
2351.TW,2022-08-01,465000,1027000,-562000,6000,-5841,-561841
2351.TW,2022-08-02,674000,679000,-5000,-360000,-66501,-431501
2351.TW,2022-08-03,465000,721000,-256000,0,-4112,-260112
2351.TW,2022-08-04,779000,643000,136000,0,-24719,111281
2351.TW,2022-08-05,847080,635000,212080,-490000,-4011,-281931
2351.TW,2022-08-08,768000,451000,317000,0,2916,319916
2351.TW,2022-08-09,765000,713000,52000,-363000,1875,-309125
2351.TW,2022-08-10,371000,137000,234000,0,-11869,222131
2351.TW,2022-08-11,768000,640080,127920,50000,43392,221312
2351.TW,2022-08-12,501000,822000,-321000,254000,130191,63191
2351.TW,2022-08-15,520000,448000,72000,-23000,7971,56971
2351.TW,2022-08-16,610000,352000,258000,97000,-11739,343261
2351.TW,2022-08-17,1122000,1177000,-55000,-229000,139420,-144580
2351.TW,2022-08-18,839000,2765000,-1926000,-496000,-34252,-2456252
2351.TW,2022-08-19,1088000,1550000,-462000,100000,-95449,-457449
2351.TW,2022-08-22,694000,1275000,-581000,-280000,-73736,-934736
2351.TW,2022-08-23,662000,358000,304000,-200000,3921,107921
2351.TW,2022-08-24,577000,514000,63000,-268000,-65036,-270036
2351.TW,2022-08-25,482000,501000,-19000,102000,3141,86141
2351.TW,2022-08-26,890000,1457000,-567000,168000,47108,-351892
2351.TW,2022-08-29,477000,1166000,-689000,89000,-49868,-649868
2351.TW,2022-08-30,292000,160000,132000,0,-6574,125426
2351.TW,2022-08-31,437000,283000,154000,118000,2020,274020
2351.TW,2022-09-01,365000,411000,-46000,0,-38759,-84759
2351.TW,2022-09-02,553000,345000,208000,0,1343,209343
2351.TW,2022-09-05,180100,565000,-384900,0,-17036,-401936
2351.TW,2022-09-06,366000,205000,161000,-117000,-13262,30738
2351.TW,2022-09-07,279000,172000,107000,62000,-18180,150820
2351.TW,2022-09-08,511000,303000,208000,125000,3020,336020
2351.TW,2022-09-12,306000,126000,180000,38000,65,218065
2351.TW,2022-09-13,532000,174000,358000,20000,61622,439622
2351.TW,2022-09-14,429000,169000,260000,0,8928,268928
2351.TW,2022-09-15,216000,506000,-290000,0,-40822,-330822
2351.TW,2022-09-16,106000,286000,-180000,0,-9326,-189326
2351.TW,2022-09-19,136000,280000,-144000,-180000,-4372,-328372
2351.TW,2022-09-20,144000,309000,-165000,63000,-1722,-103722
2351.TW,2022-09-21,215000,1019000,-804000,-73000,-44402,-921402
2351.TW,2022-09-22,1492000,999000,493000,-1048000,-19227,-574227
2351.TW,2022-09-23,631000,776000,-145000,94000,4702,-46298
2351.TW,2022-09-26,391000,576600,-185600,37290,-7572,-155882
2351.TW,2022-09-27,243000,626400,-383400,474000,37797,128397
2351.TW,2022-09-28,508000,775000,-267000,281000,-39005,-25005
2351.TW,2022-09-29,443000,602000,-159000,328000,-218,168782
2351.TW,2022-09-30,549000,448000,101000,332000,26000,459000
2351.TW,2022-10-03,916000,1039000,-123000,926000,164968,967968
2351.TW,2022-10-04,512000,1086000,-574000,327000,-111749,-358749
2351.TW,2022-10-05,691000,763000,-72000,351000,-35811,243189
2351.TW,2022-10-06,434000,616000,-182000,0,21102,-160898
2351.TW,2022-10-07,351000,388000,-37000,0,-31157,-68157
2351.TW,2022-10-11,563000,399000,164000,50000,6615,220615
2351.TW,2022-10-12,411000,502000,-91000,0,-37471,-128471
2351.TW,2022-10-13,411000,315000,96000,0,-14043,81957
2351.TW,2022-10-14,361000,377000,-16000,0,15052,-948
2351.TW,2022-10-17,434000,594000,-160000,50000,-23451,-133451
2351.TW,2022-10-18,200000,362000,-162000,0,9173,-152827
2351.TW,2022-10-19,119000,233000,-114000,0,8085,-105915
2351.TW,2022-10-20,605313,884000,-278687,51000,-16902,-244589
2351.TW,2022-10-21,148000,711000,-563000,-18000,-15134,-596134
2351.TW,2022-10-24,560000,363000,197000,-398000,30448,-170552
2351.TW,2022-10-25,531000,468000,63000,-77000,30589,16589
2351.TW,2022-10-26,764000,484000,280000,0,22268,302268
2351.TW,2022-10-27,797000,1199000,-402000,-195000,27580,-569420
2351.TW,2022-10-28,614000,406000,208000,-199000,4413,13413
2351.TW,2022-10-31,565000,998000,-433000,-470000,37620,-865380
2351.TW,2022-11-01,1128000,509000,619000,0,57436,676436
2351.TW,2022-11-02,1049000,724000,325000,41000,58001,424001
2351.TW,2022-11-03,329000,369000,-40000,0,-33999,-73999
2351.TW,2022-11-04,594000,530000,64000,-731000,940,-666060
2351.TW,2022-11-07,1261000,395000,866000,69000,-35083,899917
2351.TW,2022-11-08,389000,567000,-178000,-55000,-13267,-246267
2351.TW,2022-11-09,1140250,589250,551000,-719000,29272,-138728
2351.TW,2022-11-10,1204188,1405188,-201000,0,-30866,-231866
2351.TW,2022-11-11,3281000,995000,2286000,-362000,40423,1964423
2351.TW,2022-11-14,603781,571000,32781,-39000,18001,11782
2351.TW,2022-11-15,837219,446000,391219,-70000,-13060,308159
2351.TW,2022-11-16,1096562,461562,635000,150000,38000,823000
2351.TW,2022-11-17,199000,611000,-412000,435000,-41001,-18001
2351.TW,2022-11-18,251000,582000,-331000,0,-30002,-361002
2351.TW,2022-11-21,259000,125000,134000,0,-2152,131848
2351.TW,2022-11-22,214000,358000,-144000,0,1421,-142579
2351.TW,2022-11-23,506000,804000,-298000,-357000,1300,-653700
2351.TW,2022-11-24,924000,391000,533000,-300000,6000,239000
2351.TW,2022-11-25,755000,283000,472000,194000,6541,672541
2351.TW,2022-11-28,1446000,1402000,44000,257000,85500,386500
2351.TW,2022-11-29,197000,1533000,-1336000,0,42755,-1293245
2351.TW,2022-11-30,653000,471000,182000,0,-26537,155463
2351.TW,2022-12-01,1962000,1350000,612000,370000,-59919,922081
2351.TW,2022-12-02,623781,1035000,-411219,100000,-49087,-360306
2351.TW,2022-12-05,355000,472000,-117000,345000,35000,263000
2351.TW,2022-12-06,264000,391000,-127000,-60000,5999,-181001
2351.TW,2022-12-07,731000,234000,497000,0,-27000,470000
2351.TW,2022-12-08,445000,235000,210000,0,-11000,199000
2351.TW,2022-12-09,102000,633000,-531000,75000,23976,-432024
2351.TW,2022-12-12,277000,449813,-172813,0,-4603,-177416
2351.TW,2022-12-13,192000,223000,-31000,2000,-15876,-44876
2351.TW,2022-12-14,174000,265000,-91000,53000,-4001,-42001
2351.TW,2022-12-15,134000,303000,-169000,0,1999,-167001
2351.TW,2022-12-16,281000,322000,-41000,-37000,-39014,-117014
2351.TW,2022-12-19,236000,134000,102000,-1000,-105,100895
2351.TW,2022-12-20,387000,512000,-125000,-100000,-30778,-255778
2351.TW,2022-12-21,798000,364000,434000,-300000,-14699,119301
2351.TW,2022-12-22,258000,185000,73000,50000,-14633,108367
2351.TW,2022-12-23,389000,398000,-9000,0,-10100,-19100
2351.TW,2022-12-26,270000,414000,-144000,-100000,-97,-244097
2351.TW,2022-12-27,439000,230000,209000,0,22000,231000
2351.TW,2022-12-28,133000,220000,-87000,0,-33333,-120333
2351.TW,2022-12-29,456000,495000,-39000,-109000,-166,-148166
2351.TW,2022-12-30,323000,300000,23000,-220000,1361,-195639
2351.TW,2023-01-03,311000,228000,83000,0,6000,89000
2351.TW,2023-01-04,198000,359000,-161000,0,918,-160082
2351.TW,2023-01-05,201000,322000,-121000,50000,1962,-69038
2351.TW,2023-01-06,110000,139000,-29000,0,3000,-26000
2351.TW,2023-01-09,532000,479584,52416,65000,17952,135368
2351.TW,2023-01-10,914000,766000,148000,250000,70964,468964
2351.TW,2023-01-11,203000,504000,-301000,-307000,-14143,-622143
2351.TW,2023-01-12,381000,406000,-25000,-300000,-15094,-340094
2351.TW,2023-01-13,82000,345000,-263000,35000,-36054,-264054
2351.TW,2023-01-16,165000,292000,-127000,-124000,-24889,-275889
2351.TW,2023-01-17,45000,322000,-277000,-153000,-4540,-434540
2351.TW,2023-01-30,1437000,309000,1128000,95000,62002,1285002
2351.TW,2023-01-31,3084000,701000,2383000,754000,48001,3185001
2351.TW,2023-02-01,3560000,3300000,260000,1178000,60333,1498333
2351.TW,2023-02-02,1577000,1652000,-75000,416000,-48872,292128
2351.TW,2023-02-03,563000,998000,-435000,12000,52948,-370052
2351.TW,2023-02-06,514000,649000,-135000,0,46000,-89000
2351.TW,2023-02-07,444000,553000,-109000,356000,119302,366302
2351.TW,2023-02-08,676000,1132000,-456000,638000,601278,783278
2351.TW,2023-02-09,254000,272000,-18000,130000,19500,131500
2351.TW,2023-02-10,276000,381000,-105000,118000,38687,51687
2351.TW,2023-02-13,260000,181000,79000,451000,-57692,472308
2351.TW,2023-02-14,1499020,2217000,-717980,896000,-382016,-203996
2351.TW,2023-02-15,781110,1717000,-935890,-57000,-150818,-1143708
2351.TW,2023-02-16,644000,377000,267000,28000,-35000,260000
2351.TW,2023-02-17,422000,191000,231000,-46000,-10442,174558
2351.TW,2023-02-20,251000,554000,-303000,-219000,-54000,-576000
2351.TW,2023-02-21,254000,416000,-162000,38000,36000,-88000
2351.TW,2023-02-22,246000,345000,-99000,-80000,-85001,-264001
2351.TW,2023-02-23,505000,446122,58878,1000,10692,70570
2351.TW,2023-02-24,996000,1290000,-294000,126000,-29820,-197820
2351.TW,2023-03-01,304000,491000,-187000,36000,-12101,-163101
2351.TW,2023-03-02,67000,348000,-281000,36000,-3155,-248155
2351.TW,2023-03-03,180000,539110,-359110,-814000,12592,-1160518
2351.TW,2023-03-06,900000,289000,611000,-592000,39742,58742
2351.TW,2023-03-07,786000,417000,369000,-26000,76874,419874
