ticker,date,per,pbr,dividend_yield
2404.TW,2025-09-23,26.17,14.97,2.84
2404.TW,2025-09-24,25.56,14.62,2.9
2404.TW,2025-09-25,25.19,14.41,2.95
2404.TW,2025-09-26,23.89,13.67,3.11
2404.TW,2025-09-30,23.76,13.59,3.13
2404.TW,2025-10-01,24.21,13.85,3.07
2404.TW,2025-10-02,23.6,13.5,3.15
2404.TW,2025-10-03,23.5,13.44,3.16
2404.TW,2025-10-07,23.2,13.27,3.2
2404.TW,2025-10-08,22.81,13.05,3.26
2404.TW,2025-10-09,23.23,13.29,3.2
2404.TW,2025-10-13,22.57,12.91,3.29
2404.TW,2025-10-14,22.3,12.76,3.33
2404.TW,2025-10-15,23.68,13.55,3.14
2404.TW,2025-10-16,23.44,13.41,3.17
2404.TW,2025-10-17,22.86,13.08,3.25
2404.TW,2025-10-20,22.57,12.91,3.29
2404.TW,2025-10-21,22.49,12.86,3.3
2404.TW,2025-10-22,22.33,12.77,3.33
2404.TW,2025-10-23,22.01,12.59,3.37
2404.TW,2025-10-27,21.93,12.55,3.39
2404.TW,2025-10-28,22.59,12.92,3.29
2404.TW,2025-10-29,22.75,13.02,3.26
2404.TW,2025-10-30,23.04,13.18,3.22
2404.TW,2025-10-31,22.86,13.08,3.25
2404.TW,2025-11-03,22.33,12.77,3.33
2404.TW,2025-11-04,22.33,12.77,3.33
2404.TW,2025-11-05,21.88,12.52,3.39
2404.TW,2025-11-06,21.67,12.39,3.43
2404.TW,2025-11-07,21.21,12.14,3.5
2404.TW,2025-11-10,21.08,12.06,3.52
2404.TW,2025-11-11,19.78,11.32,3.75
2404.TW,2025-11-12,16.78,8.99,3.75
2404.TW,2025-11-13,18.44,9.89,3.41
2404.TW,2025-11-14,17.54,9.4,3.59
2404.TW,2025-11-17,17.79,9.54,3.54
2404.TW,2025-11-18,17.11,9.18,3.67
2404.TW,2025-11-19,17.45,9.36,3.6
2404.TW,2025-11-20,17.74,9.51,3.54
2404.TW,2025-11-21,16.87,9.04,3.73
2404.TW,2025-11-24,17.29,9.27,3.64
2404.TW,2025-11-25,17.52,9.39,3.59
2404.TW,2025-11-26,17.94,9.62,3.5
2404.TW,2025-11-27,17.76,9.52,3.54
2404.TW,2025-11-28,17.99,9.64,3.5
2404.TW,2025-12-01,17.56,9.42,3.58
2404.TW,2025-12-02,17.4,9.33,3.61
2404.TW,2025-12-03,17.99,9.64,3.5
2404.TW,2025-12-04,18.08,9.69,3.48
2404.TW,2025-12-05,17.81,9.55,3.53
2404.TW,2025-12-08,18.19,9.75,3.46
2404.TW,2025-12-09,18.64,9.99,3.37
2404.TW,2025-12-10,19.69,10.56,3.19
2404.TW,2025-12-11,20.14,10.8,3.12
2404.TW,2025-12-12,21.24,11.39,2.96
2404.TW,2025-12-15,20.77,11.14,3.03
2404.TW,2025-12-16,21.22,11.38,2.96
2404.TW,2025-12-17,21.49,11.52,2.93
2404.TW,2025-12-18,21.38,11.46,2.94
2404.TW,2025-12-19,22.08,11.84,2.85
2404.TW,2025-12-22,20.93,11.22,3.0
2404.TW,2025-12-23,21.42,11.49,2.94
2404.TW,2025-12-24,20.77,11.14,3.03
2404.TW,2025-12-26,21.13,11.33,2.98
2404.TW,2025-12-29,20.71,11.1,3.04
2404.TW,2025-12-30,20.39,10.93,3.08
2404.TW,2025-12-31,21.31,11.43,2.95
2404.TW,2026-01-02,21.56,11.56,2.92
2404.TW,2026-01-05,22.28,11.94,2.82
2404.TW,2026-01-06,22.91,12.28,2.75
2404.TW,2026-01-07,22.46,12.04,2.8
2404.TW,2026-01-08,22.68,12.16,2.77
2404.TW,2026-01-09,22.32,11.97,2.82
2404.TW,2026-01-12,22.05,11.82,2.85
2404.TW,2026-01-13,24.25,13.0,2.59
2404.TW,2026-01-14,25.83,13.85,2.43
2404.TW,2026-01-15,25.83,13.85,2.43
2404.TW,2026-01-16,24.7,13.25,2.55
2404.TW,2026-01-19,24.59,13.18,2.56
2404.TW,2026-01-20,24.25,13.0,2.59
2404.TW,2026-01-21,22.68,12.16,2.77
2404.TW,2026-01-22,22.23,11.92,2.83
2404.TW,2026-01-23,22.12,11.86,2.84
2404.TW,2026-01-26,21.36,11.45,2.94
2404.TW,2026-01-27,21.11,11.32,2.98
2404.TW,2026-01-28,21.4,11.48,2.94
2404.TW,2026-01-29,21.33,11.44,2.95
2404.TW,2026-01-30,20.39,10.93,3.08
2404.TW,2026-02-02,20.53,11.01,3.06
2404.TW,2026-02-03,21.02,11.27,2.99
2404.TW,2026-02-04,20.95,11.23,3.0
2404.TW,2026-02-05,20.91,11.21,3.01
2404.TW,2026-02-06,20.37,10.92,3.09
2404.TW,2026-02-09,20.17,10.81,3.12
2404.TW,2026-02-10,20.39,10.93,3.08
2404.TW,2026-02-11,20.73,11.11,3.03
2404.TW,2026-02-23,21.63,11.6,2.91
2404.TW,2026-02-24,22.01,11.8,2.86
2404.TW,2026-02-25,23.24,12.46,2.71
2404.TW,2026-02-26,25.38,13.61,2.48
2404.TW,2026-03-02,24.14,12.94,2.6
2404.TW,2026-03-03,22.79,12.22,2.76
2404.TW,2026-03-04,22.46,12.04,2.8
2404.TW,2026-03-05,24.7,13.25,2.55
2404.TW,2026-03-06,24.7,13.25,2.55
2404.TW,2026-03-09,24.03,12.88,2.62
2404.TW,2026-03-10,23.36,12.52,2.69
2404.TW,2026-03-11,24.37,13.06,2.58
2404.TW,2026-03-12,23.92,12.82,2.63
2404.TW,2026-03-13,21.0,10.23,3.96
2404.TW,2026-03-16,20.05,9.76,4.15
2404.TW,2026-03-17,19.32,9.41,4.31
2404.TW,2026-03-18,19.51,9.5,4.26
2404.TW,2026-03-19,19.03,9.26,4.37
2404.TW,2026-03-20,19.34,9.42,4.3
2404.TW,2026-03-23,19.03,9.26,4.37
2404.TW,2026-03-24,19.44,9.47,4.28
2404.TW,2026-03-25,19.61,9.55,4.24
2404.TW,2026-03-26,18.82,9.16,4.42
2404.TW,2026-03-27,18.3,8.91,4.55
2404.TW,2026-03-30,17.38,8.46,4.78
2404.TW,2026-03-31,17.07,8.31,4.87
2404.TW,2026-04-01,17.34,8.44,4.8
2404.TW,2026-04-02,17.24,8.39,4.83
2404.TW,2026-04-07,17.78,8.66,4.68
2404.TW,2026-04-08,18.8,9.15,4.42
2404.TW,2026-04-09,18.86,9.18,4.41
2404.TW,2026-04-10,19.26,9.38,4.32
2404.TW,2026-04-13,19.38,9.44,4.29
2404.TW,2026-04-14,19.03,9.26,4.37
2404.TW,2026-04-15,18.92,9.21,4.4
2404.TW,2026-04-16,19.44,9.47,4.28
2404.TW,2026-04-17,21.31,10.38,3.9
2404.TW,2026-04-20,21.31,10.38,3.9
2404.TW,2026-04-21,20.79,10.13,4.0
2404.TW,2026-04-22,20.79,10.13,4.0
2404.TW,2026-04-23,20.27,9.87,4.1
2404.TW,2026-04-24,20.57,10.01,4.04
2404.TW,2026-04-27,20.15,9.81,4.13
2404.TW,2026-04-28,20.15,9.81,4.13
2404.TW,2026-04-29,19.94,9.71,4.17
2404.TW,2026-04-30,19.75,9.62,4.21
2436.TW,2020-01-02,26.53,1.65,3.73
2436.TW,2020-01-03,26.34,1.64,3.76
2436.TW,2020-01-06,25.99,1.62,3.81
2436.TW,2020-01-07,25.74,1.6,3.85
2436.TW,2020-01-08,25.54,1.59,3.88
2436.TW,2020-01-09,25.79,1.61,3.84
2436.TW,2020-01-10,25.64,1.6,3.86
2436.TW,2020-01-13,26.14,1.63,3.79
2436.TW,2020-01-14,26.14,1.63,3.79
2436.TW,2020-01-15,26.04,1.62,3.8
2436.TW,2020-01-16,26.09,1.63,3.8
2436.TW,2020-01-17,26.04,1.62,3.8
2436.TW,2020-01-20,25.99,1.62,3.81
2436.TW,2020-01-30,23.42,1.46,4.23
2436.TW,2020-01-31,23.37,1.46,4.24
2436.TW,2020-02-03,21.83,1.36,4.54
2436.TW,2020-02-04,22.67,1.41,4.37
2436.TW,2020-02-05,22.77,1.42,4.35
2436.TW,2020-02-06,23.12,1.44,4.28
2436.TW,2020-02-07,22.77,1.42,4.35
2436.TW,2020-02-10,22.38,1.4,4.42
2436.TW,2020-02-11,22.72,1.42,4.36
2436.TW,2020-02-12,22.77,1.42,4.35
2436.TW,2020-02-13,22.72,1.42,4.36
2436.TW,2020-02-14,22.82,1.42,4.34
2436.TW,2020-02-17,22.67,1.41,4.37
2436.TW,2020-02-18,22.67,1.41,4.37
2436.TW,2020-02-19,22.77,1.42,4.35
2436.TW,2020-02-20,23.07,1.44,4.29
2436.TW,2020-02-21,22.82,1.42,4.34
2436.TW,2020-02-24,22.48,1.4,4.41
2436.TW,2020-02-25,22.38,1.4,4.42
2436.TW,2020-02-26,22.38,1.4,4.42
2436.TW,2020-02-27,21.68,1.35,4.57
2436.TW,2020-03-02,21.44,1.34,4.62
2436.TW,2020-03-03,22.18,1.38,4.46
2436.TW,2020-03-04,22.18,1.38,4.46
2436.TW,2020-03-05,22.38,1.4,4.42
2436.TW,2020-03-06,24.6,1.53,4.02
2436.TW,2020-03-09,25.35,1.58,3.91
2436.TW,2020-03-10,23.76,1.48,4.17
2436.TW,2020-03-11,23.27,1.45,4.26
2436.TW,2020-03-12,11.56,1.27,4.65
2436.TW,2020-03-13,11.88,1.3,4.52
2436.TW,2020-03-16,11.42,1.25,4.71
2436.TW,2020-03-17,11.77,1.29,4.57
2436.TW,2020-03-18,11.72,1.29,4.59
2436.TW,2020-03-19,10.62,1.17,5.06
2436.TW,2020-03-20,11.29,1.24,4.76
2436.TW,2020-03-23,10.83,1.19,4.96
2436.TW,2020-03-24,11.26,1.24,4.77
2436.TW,2020-03-25,11.83,1.3,6.82
2436.TW,2020-03-26,11.69,1.28,6.9
2436.TW,2020-03-27,11.77,1.29,6.85
2436.TW,2020-03-30,11.69,1.28,6.9
2436.TW,2020-03-31,11.53,1.27,6.99
2436.TW,2020-04-01,11.72,1.29,6.88
2436.TW,2020-04-06,12.88,1.41,6.26
2436.TW,2020-04-07,12.74,1.4,6.33
2436.TW,2020-04-08,12.93,1.42,6.24
2436.TW,2020-04-09,12.69,1.39,6.36
2436.TW,2020-04-10,12.9,1.42,6.25
2436.TW,2020-04-13,12.85,1.41,6.28
2436.TW,2020-04-14,13.06,1.43,6.17
2436.TW,2020-04-15,12.98,1.43,6.21
2436.TW,2020-04-16,13.17,1.45,6.12
2436.TW,2020-04-17,13.44,1.48,6.0
2436.TW,2020-04-20,13.47,1.48,5.99
2436.TW,2020-04-21,13.09,1.44,6.16
2436.TW,2020-04-22,13.36,1.47,6.04
2436.TW,2020-04-23,13.66,1.5,5.91
2436.TW,2020-04-24,14.25,1.56,5.66
2436.TW,2020-04-27,14.3,1.57,5.64
2436.TW,2020-04-28,14.14,1.55,5.7
2436.TW,2020-04-29,14.19,1.56,5.68
2436.TW,2020-04-30,14.35,1.58,5.62
2436.TW,2020-05-04,14.38,1.58,5.61
2436.TW,2020-05-05,55.52,1.72,5.63
2436.TW,2020-05-06,53.85,1.67,5.8
2436.TW,2020-05-07,55.0,1.71,5.68
2436.TW,2020-05-08,54.48,1.69,5.74
2436.TW,2020-05-11,54.48,1.69,5.74
2436.TW,2020-05-12,54.48,1.69,5.74
2436.TW,2020-05-13,54.48,1.69,5.74
2436.TW,2020-05-14,53.02,1.65,5.89
2436.TW,2020-05-15,52.6,1.63,5.94
2436.TW,2020-05-18,52.19,1.62,5.99
2436.TW,2020-05-19,52.71,1.64,5.93
2436.TW,2020-05-20,55.31,1.72,5.65
2436.TW,2020-05-21,56.25,1.75,5.56
2436.TW,2020-05-22,54.58,1.7,5.73
2436.TW,2020-05-25,55.0,1.71,5.68
2436.TW,2020-05-26,55.21,1.72,5.66
2436.TW,2020-05-27,56.15,1.74,5.57
2436.TW,2020-05-28,54.58,1.7,5.73
2436.TW,2020-05-29,55.63,1.73,5.62
2436.TW,2020-06-01,57.19,1.78,5.46
2436.TW,2020-06-02,56.77,1.76,5.5
2436.TW,2020-06-03,56.77,1.76,5.5
2436.TW,2020-06-04,58.02,1.8,5.39
2436.TW,2020-06-05,57.71,1.79,5.42
2436.TW,2020-06-08,56.77,1.76,5.5
2436.TW,2020-06-09,57.19,1.78,5.46
2436.TW,2020-06-10,56.88,1.77,5.49
2436.TW,2020-06-11,56.35,1.75,5.55
2436.TW,2020-06-12,56.15,1.74,5.57
2436.TW,2020-06-15,56.35,1.75,5.55
2436.TW,2020-06-16,57.29,1.78,5.45
2436.TW,2020-06-17,57.71,1.79,5.42
2436.TW,2020-06-18,58.54,1.82,5.34
2436.TW,2020-06-19,57.19,1.78,5.46
2436.TW,2020-06-22,58.23,1.81,5.37
2436.TW,2020-06-23,58.65,1.82,5.33
2436.TW,2020-06-24,59.38,1.84,5.26
2436.TW,2020-06-29,58.44,1.82,5.35
2436.TW,2020-06-30,58.54,1.82,5.34
2436.TW,2020-07-01,56.67,1.76,5.51
2436.TW,2020-07-02,56.46,1.75,5.54
2436.TW,2020-07-03,59.38,1.84,5.26
2436.TW,2020-07-06,58.96,1.83,5.3
2436.TW,2020-07-07,58.96,1.83,5.3
2436.TW,2020-07-08,62.19,1.93,5.03
2436.TW,2020-07-09,68.33,2.12,4.57
2436.TW,2020-07-10,64.17,1.99,4.87
2436.TW,2020-07-13,64.58,2.01,4.84
2436.TW,2020-07-14,65.63,2.04,4.76
2436.TW,2020-07-15,62.81,1.95,4.98
2436.TW,2020-07-16,62.29,1.94,5.02
2436.TW,2020-07-17,60.31,1.87,5.18
2436.TW,2020-07-20,61.04,1.9,5.12
2436.TW,2020-07-21,61.25,1.9,5.1
2436.TW,2020-07-22,62.08,1.93,5.03
2436.TW,2020-07-23,64.27,2.0,4.86
2436.TW,2020-07-24,62.19,1.93,5.03
2436.TW,2020-07-27,60.42,1.88,5.17
2436.TW,2020-07-28,58.44,1.82,5.35
2436.TW,2020-07-29,60.42,1.88,5.17
2436.TW,2020-07-30,62.71,1.95,4.98
2436.TW,2020-07-31,62.08,1.93,5.03
2436.TW,2020-08-03,63.13,1.96,4.95
2436.TW,2020-08-04,63.44,1.97,4.93
