ticker,company_name,year_month,revenue,yoy_pct,mom_pct,source_url,notes
6139.TW,亞翔工程 Acter,2022-08,3067204000,71.02179142193461,8.414865881314991,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2022-09,3350685000,100.41072809584732,9.242326235881283,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2022-10,3180060000,85.44170155295747,-5.092242332537977,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2022-11,3369774000,81.20162479391637,5.965736495537821,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2022-12,3526293000,21.755179862275465,4.644792202681836,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-01,4047910000,7.74033575914177,14.792219478075141,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-02,2345006000,-18.75373749174547,-42.068721883638716,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-03,2988504000,59.027266341712604,27.441209105648333,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-04,2887604000,9.271075597345945,-3.3762712045893206,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-05,3176428000,26.024625448624516,10.0022025180738,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-06,2766220000,16.97979319989562,-12.914128700540351,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-07,4046896000,43.04352989746694,46.296968426227856,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-08,4000024000,30.41271464173887,-1.1582210167990437,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-09,4139571000,23.544021595584198,3.4886540680755918,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-10,6468010000,103.39270328232799,56.248316552608955,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-11,6769058000,100.87572638402457,4.6544145726429065,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2023-12,8997676000,155.15962513608486,32.92360620931303,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-01,8314643000,105.4058267105741,-7.591215776162641,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-02,6772790000,188.81759790806507,-18.543826836582156,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-03,5194749000,73.82439508195404,-23.299718432138008,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-04,7007899000,142.68905985723802,34.90351506877425,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-05,6785280000,113.61353067030011,-3.176686764463932,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-06,5806638000,109.9123713948999,-14.423015704584042,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-07,6371409000,57.43940541096188,9.726299452454246,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-08,6764790000,69.11873528758828,6.174160221075109,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-09,3939944000,-4.822407925845451,-41.75807379090851,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-10,5610726000,-13.254215747965759,42.40623724601163,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-11,3994223000,-40.99292693311241,-28.810941756913454,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2024-12,3156553000,-64.91812997045014,-20.972038867133858,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-01,3583336000,-56.903309017597024,13.520539651955787,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-02,3497783000,-48.35536019867735,-2.3875238046334513,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-03,3000867000,-42.232685352073794,-14.20659886562431,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-04,5657321000,-19.272224100261713,88.52288355331976,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-05,5003537000,-26.25894583569138,-11.556423968164442,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-06,4224927000,-27.2397039388369,-15.561192012770164,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-07,5668181000,-11.037244665975765,34.16044821602835,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-08,6734408000,-0.4491196326863012,18.810743693611755,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-09,7776731000,97.38176481696186,15.47757427230425,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-10,10094434000,79.91315205910965,29.803049636151748,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-11,7070362000,77.01470348550895,-29.957816357014178,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2025-12,8509211000,169.57288535944116,20.350429016222925,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2026-01,9501077000,165.14613756566504,11.656380362409635,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2026-02,6563074000,87.63525353059352,-30.92284169468367,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2026-03,5443622000,81.4016415922465,-17.056824286911898,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6139.TW,亞翔工程 Acter,2026-04,8341790000,47.45124061371098,53.23969959706976,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-01,97399000,,,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-02,177173000,,81.90433166664957,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-03,123280000,,-30.418291726165947,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-04,167911000,,36.20295262816353,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-05,196086000,,16.779722591134583,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-06,203872000,,3.970706730720197,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-07,202294000,,-0.7740150682781333,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-08,174501000,,-13.738914648976241,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-09,171123000,,-1.9358055254697693,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-10,168727000,,-1.4001624562449244,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-11,125797000,,-25.443467850432945,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2018-12,128781000,,2.372075645683114,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-01,86325000,-11.369726588568675,-32.967596151606216,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-02,87776000,-50.45746248017474,1.680857225600918,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-03,71524000,-41.982478909798836,-18.51531170251549,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-04,93436000,-44.35385412510199,30.63587047704268,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-05,83663000,-57.333516926246645,-10.459565906074742,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-06,104844000,-48.57361481714017,25.317045766945956,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-07,91963000,-54.5399270368869,-12.2858723436725,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-08,95085000,-45.510340914951776,3.3948435783956565,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-09,90331000,-47.212823524599266,-4.99973707735184,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
6187.TWO,萬潤 Wan Run,2019-10,86823000,-48.542319842111816,-3.8834951456310662,https://api.finmindtrade.com/api/v4/data?dataset=TaiwanStockMonthRevenue,FinMind
