ra_w,rev_w,flw_w,risk_mult,min_alpha,train_sharpe,train_max_dd,train_total,train_mean,test_sharpe,test_max_dd,test_total,test_mean,full_sharpe,full_total,full_max_dd,annualised_turnover,net_cagr_25bps,net_sharpe_25bps,strong_n_full,strong_unique,strong_hit,strong_mean,watch_n_full,watch_hit_full,neutral_n_full,neutral_hit_full,avoid_n_full,avoid_hit_full,robust_ratio,passes_robust,passes_strong,passes_all,n_zero_weights
0.3,0.0,0.0,1.75,2.5,1.3436261878304367,-0.3771731956390928,3.6070646093809815,0.04163954332503388,2.258200192186464,-0.1769282869527833,6.019818355833346,0.08129361760916941,1.700582853154499,31.340756711442808,-0.3771731956390928,8.502857142857142,0.7781724080938086,1.6476720310901911,3,3,0.3333333333333333,0.0303413189941117,6,0.3333333333333333,332,0.5481927710843374,3789,0.5647928213248878,1.680675929540192,True,False,False,2
0.3,0.0,0.0,1.75,3.0,1.3436261878304367,-0.3771731956390928,3.6070646093809815,0.04163954332503388,2.258200192186464,-0.1769282869527833,6.019818355833346,0.08129361760916941,1.700582853154499,31.340756711442808,-0.3771731956390928,8.502857142857142,0.7781724080938086,1.6476720310901911,0,0,,,9,0.3333333333333333,332,0.5481927710843374,3789,0.5647928213248878,1.680675929540192,True,False,False,2
0.3,0.0,0.0,1.75,3.5,1.3436261878304367,-0.3771731956390928,3.6070646093809815,0.04163954332503388,2.258200192186464,-0.1769282869527833,6.019818355833346,0.08129361760916941,1.700582853154499,31.340756711442808,-0.3771731956390928,8.502857142857142,0.7781724080938086,1.6476720310901911,0,0,,,9,0.3333333333333333,332,0.5481927710843374,3789,0.5647928213248878,1.680675929540192,True,False,False,2
0.3,0.0,0.0,1.75,4.0,1.3436261878304367,-0.3771731956390928,3.6070646093809815,0.04163954332503388,2.258200192186464,-0.1769282869527833,6.019818355833346,0.08129361760916941,1.700582853154499,31.340756711442808,-0.3771731956390928,8.502857142857142,0.7781724080938086,1.6476720310901911,0,0,,,9,0.3333333333333333,332,0.5481927710843374,3789,0.5647928213248878,1.680675929540192,True,False,False,2
0.3,0.0,0.0,2.0,2.5,1.371823377869011,-0.3254712543073699,3.415570488301496,0.03985987169805701,2.1069682803559653,-0.1769282869527833,5.3618580808717375,0.07751282783236463,1.6635984840144273,27.09123279265963,-0.3254712543073699,8.434285714285714,0.7359787552931467,1.6098469095563215,3,3,0.3333333333333333,0.0303413189941117,6,0.3333333333333333,293,0.5460750853242321,3828,0.56478578892372,1.5358888865335767,True,False,False,2
0.3,0.0,0.0,2.0,3.0,1.371823377869011,-0.3254712543073699,3.415570488301496,0.03985987169805701,2.1069682803559653,-0.1769282869527833,5.3618580808717375,0.07751282783236463,1.6635984840144273,27.09123279265963,-0.3254712543073699,8.434285714285714,0.7359787552931467,1.6098469095563215,0,0,,,9,0.3333333333333333,293,0.5460750853242321,3828,0.56478578892372,1.5358888865335767,True,False,False,2
0.3,0.0,0.0,2.0,3.5,1.371823377869011,-0.3254712543073699,3.415570488301496,0.03985987169805701,2.1069682803559653,-0.1769282869527833,5.3618580808717375,0.07751282783236463,1.6635984840144273,27.09123279265963,-0.3254712543073699,8.434285714285714,0.7359787552931467,1.6098469095563215,0,0,,,9,0.3333333333333333,293,0.5460750853242321,3828,0.56478578892372,1.5358888865335767,True,False,False,2
0.3,0.0,0.0,2.0,4.0,1.371823377869011,-0.3254712543073699,3.415570488301496,0.03985987169805701,2.1069682803559653,-0.1769282869527833,5.3618580808717375,0.07751282783236463,1.6635984840144273,27.09123279265963,-0.3254712543073699,8.434285714285714,0.7359787552931467,1.6098469095563215,0,0,,,9,0.3333333333333333,293,0.5460750853242321,3828,0.56478578892372,1.5358888865335767,True,False,False,2
0.3,0.0,0.05,0.5,2.5,1.512585466273494,-0.22585767421063507,5.949357302181253,0.05248120453344611,2.410595879039859,-0.2178745204268443,10.462892387004851,0.10374105387420246,1.861999822201095,78.6597349137501,-0.22585767421063507,7.4399999999999995,1.081045885684583,1.8220553868369938,16,15,0.5625,0.13202231659158437,24,0.5833333333333334,947,0.5818373812038015,3143,0.5571110404072542,1.593692345186129,True,True,True,1
0.3,0.0,0.05,0.5,3.0,1.512585466273494,-0.22585767421063507,5.949357302181253,0.05248120453344611,2.410595879039859,-0.2178745204268443,10.462892387004851,0.10374105387420246,1.861999822201095,78.6597349137501,-0.22585767421063507,7.4399999999999995,1.081045885684583,1.8220553868369938,1,1,1.0,0.1720183223011244,39,0.5641025641025641,947,0.5818373812038015,3143,0.5571110404072542,1.593692345186129,True,False,False,1
